Procuring Entity (PE),Region,Province,City/Municipality,Government Branch,PE Organization Type,PE Organization Type (Grouped),Bid Reference No.,Notice Title,Classification,Procurement Mode,Business Category,Funding Source,Funding Instrument,Trade Agreement,Approved Budget of the Contract,Published Date,Closing Date,Area of Delivery,Contract Duration,Calendar Type,Line Item No,Item Name,Item Description,Quantity,UOM,Item Budget,Bid Notice Status,Award Reference No.,Award Title,UNSPSC Code,UNSPSC Description,Published Date(Award),Award Date,Contract Amount,Award Notice Status,Notice to Proceed Date,Contract Effectivity Date,Contract End Date,Awardee Organization Name,Country of Awardee,Region of Awardee,Province of Awardee,City/Municipality of Awardee,Awardee Size,Awardee Joint Venture
PHILIPPINE CARABAO CENTER,Region III,Nueva Ecija,Science City of Muñoz,Executive,Attached Agency,National Government Agencies (NGA),0,SUPPLY AND DELIVERY OF QIAMP DNA MICRO KIT (Direct Contracting Exclusive Dealer / Manufacturer),Goods,Direct Contracting (Sec. 50),Laboratory Supplies and Equipment,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,35250.00,21/10/2024,NULL,Nueva Ecija,84,NULL,1,SUPPLY AND DELIVERY OF QIAMP DNA MICRO KIT,"QIAGEN CAT. NO. 56304, DNA MICRO KIT (50)",1,Lot,35250.00,Awarded,5136945,SUPPLY AND DELIVERY OF QIAMP DNA MICRO KIT (Direct Contracting Exclusive Dealer / Manufacturer),60104002,Deoxyribonucleic acid DNA experiment kits,21/10/2024,14/10/2024,35250.00,Updated,14/10/2024,14/10/2024,06/01/2025,"GOLDEN BAT ( FAR EAST ), INC.",Philippines,NCR,Metro Manila,Quezon City,Medium,NULL
EASTERN VISAYAS STATE UNIVERSITY,Region VIII,Leyte,Tacloban City,Executive,State Universities or Colleges (SUC),State Universities and Colleges (SUC),0,08-0496-24 BAC SUPPLY AND DELIVERY OF PHOTOCOPIER PARTS (Direct Contracting Exclusive Dealer / Manufacturer),Goods,Direct Contracting (Sec. 50),Printing Supplies,Government of the Philippines (GOP),Corporate Budget for the Contract Approved by the Board,Implementing Rules and Regulations,55000.00,29/10/2024,NULL,Leyte,30,NULL,1,Photocopier Parts,"1, Cartridge Fuser Assembly/Fuji DCS 1810 2010 (for existing unit) 2, Cartridge, Drum Cartridge DocuCentre S2011 (for existing unit)",1,Lot,55000.00,Awarded,5147180,08-0496-24 BAC SUPPLY AND DELIVERY OF PHOTOCOPIER PARTS (Direct Contracting Exclusive Dealer / Manufacturer),44101700,Printer and photocopier and facsimile accessories,29/10/2024,19/09/2024,49500.00,Updated,23/09/2024,28/10/2024,27/11/2024,BXU COPY TRADING & ENT. CORP. - TACLOBAN BRANCH,Philippines,Region VIII,Leyte,Tacloban City,Micro,NULL
PROVINCIAL GOVERNMENT OF AKLAN,Region VI,Aklan,Kalibo,Executive,Provincial Government,Local Government Units (LGU),0,"Procurement for the Purchase of Parts of Copier Machine and Cartridge Toner for the use of Ibajay District Hospital, Province of Aklan (Direct Contracting Exclusive Dealer / Manufacturer)",Goods,Direct Contracting (Sec. 50),Office Equipment Parts and Accessories,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,50035.12,11/12/2024,NULL,Aklan,45,NULL,1,Procurement for the Purchase of Parts of Copier Ma,1.	1 pc – OPC Drum 2.	1 pc – Cleaning Blade 3.	1 bag – Developer 4.	10 bot - Cartridge Toner MP2014 	x-x-x,1,Lump Sum,50035.12,Awarded,5219460,"Procurement for the Purchase of Parts of Copier Machine and Cartridge Toner for the use of Ibajay District Hospital, Province of Aklan (Direct Contracting Exclusive Dealer / Manufacturer)",44000000,Office Equipment and Accessories and Supplies,11/12/2024,13/08/2024,50035.12,Updated,27/08/2024,02/09/2024,17/10/2024,"PHILIPPINE DUPLICATORS, INC.",Philippines,NCR,Metro Manila,Parañaque City,NULL,NULL
PROVINCE OF CATANDUANES,Region V,Catanduanes,Virac,Executive,Provincial Government,Local Government Units (LGU),0,Calibration of Medical Equipment (Direct Contracting Exclusive Dealer / Manufacturer),Goods - General Support Services,Direct Contracting (Sec. 50),Services,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,6000.00,03/10/2024,NULL,Catanduanes,30,NULL,1,Calibration of Medical Equipment,Calibration of Dialysis Machine,1,Lot,6000.00,Awarded,5104324,Calibration of Medical Equipment (Direct Contracting Exclusive Dealer / Manufacturer),42201811,Medical x ray quality assurance or calibration devices,03/10/2024,13/06/2024,6000.00,Updated,19/06/2024,19/06/2024,19/07/2024,"FRESENIUS MEDICAL CARE PHILS., INC.",Philippines,NCR,Metro Manila,Muntinlupa City,Micro,NULL
VICENTE SOTTO MEMORIAL MEDICAL CENTER - REGION VII,Region VII,Cebu,Cebu City,Executive,Hospital,National Government Agencies (NGA),0,SUPPLY AND DELIVERY OF MEDICAL EQUIPMENT PARTS AND ACCESSORIES  (Direct Contracting Exclusive Dealer / Manufacturer),Goods,Direct Contracting (Sec. 50),Hospital / Medical Equipment,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,583117.20,NULL,NULL,Cebu,7,NULL,1,MEDICAL EQUIPMENT PARTS AND ACCESSORIES ,VACUUM PUMP ASSY - 1 PIECE LEYBOLD RETRO FIT KIT - 1 PIECE STERRAD NX PRINTER ASSY - 1 PIECE    EQUIPMENT NAME GAS PLASMA STERILIZER BRAND/MODEL STERRAD NX  SERIAL NO. 1033170107,1,Lot,583117.20,Awarded,5111169,SUPPLY AND DELIVERY OF MEDICAL EQUIPMENT PARTS AND ACCESSORIES  (Direct Contracting Exclusive Dealer / Manufacturer),42000000,Medical Equipment and Accessories and Supplies,07/10/2024,07/10/2024,583117.20,Posted,NULL,NULL,NULL,"BEROVAN MARKETING, INC.",Philippines,Region VII,Cebu,Mandaue City,Large,NULL
BUREAU OF INTERNAL REVENUE - REVENUE REGION NO. 2,CAR,Benguet,Baguio City,Executive,Bureau,National Government Agencies (NGA),0,OPTIMUM TONER CARTRIDGE (OPT-XP375X) (Direct Contracting Exclusive Dealer / Manufacturer),Goods,Direct Contracting (Sec. 50),Printing Supplies,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,240000.00,02/12/2024,NULL,Benguet,15,NULL,1,PRINTING SUPPLIES,OPTIMUM TONER CARTRIDGE,30,Piece,240000.00,Awarded,5210362,OPTIMUM TONER CARTRIDGE (OPT-XP375X) (Direct Contracting Exclusive Dealer / Manufacturer),45000000,Printing and Photographic and Audio and Visual Equipment and Supplies,02/12/2024,28/11/2024,240000.00,Updated,28/11/2024,28/11/2024,13/12/2024,NEED INK SALES & SERVICES,Philippines,Region VII,Cebu,Lapu-Lapu City,Micro,NULL
"BARANGAY SAN MARCOS - CAMALIGAN, CAMARINES SUR",Region V,Camarines Sur,Camaligan,Executive,Barangay,Local Government Units (LGU),0,PROCUREMENT OF PUBLIC BARANGAY VEHICLE (Direct Contracting Proprietary in Nature),Goods,Direct Contracting (Sec. 50),Vehicles,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,295000.00,NULL,NULL,Camarines Sur,60,NULL,1,VEHICLES,PROCUREMENT OF VEHICLE,1,Unit,295000.00,Awarded,5257504,PROCUREMENT OF PUBLIC BARANGAY VEHICLE (Direct Contracting Proprietary in Nature),83000000,Public Utilities and Public Sector Related Services,20/12/2024,19/12/2024,295000.00,Posted,NULL,NULL,NULL,DOMAIN CA GENERAL MERCHANDISE,Philippines,Region V,Albay,Ligao City,Micro,NULL
DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT - REGION VIII,Region VIII,Leyte,Tacloban City,Executive,Department,National Government Agencies (NGA),0,Provision of Services for the Preventive Manintenance for DSWD Vehicle SGN 170 (Direct Contracting Exclusive Dealer / Manufacturer),Goods,Direct Contracting (Sec. 50),Vehicle Repair and Maintenance,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,122378.66,03/12/2024,NULL,Leyte,15,NULL,1,Repair and Maintenance Services,"340,000km check up etc.,",1,Lot,122378.66,Awarded,5213569,Provision of Services for the Preventive Manintenance for DSWD Vehicle SGN 170 (Direct Contracting Exclusive Dealer / Manufacturer),78181500,Vehicle maintenance and repair services,03/12/2024,03/12/2024,122378.66,Updated,16/12/2024,17/12/2024,31/12/2024,TOYOTA TACLOBAN LEYTE INC.,Philippines,Region VIII,Leyte,Tacloban City,Large,NULL
LANDBANK OF THE PHILIPPINES - HEAD OFFICE,NCR,Metro Manila,Manila,Executive,Government Owned and/or Controlled Corp.(GOCC),Government Owned and Controlled Corporations (GOCC),0,ASG Outbound Enterprise Software Maintenance - 0742 (Direct Contracting Exclusive Dealer / Manufacturer),Goods - General Support Services,Direct Contracting (Sec. 50),Information Technology,Government of the Philippines (GOP),Corporate Budget for the Contract Approved by the Board,Implementing Rules and Regulations,4718239.58,NULL,NULL,Metro Manila,13,NULL,1,ASG Outbound Enterprise Software,Software Maintenance,1,Lot,4718239.58,Awarded,5184475,ASG Outbound Enterprise Software Maintenance - 0742 (Direct Contracting Exclusive Dealer / Manufacturer),43000000,Information Technology Broadcasting and Telecommunications,19/11/2024,19/11/2024,4718239.58,Updated,29/11/2024,29/11/2024,31/12/2025,"INFOMAX SYSTEMS SOLUTIONS & SERVICES, INC.",Philippines,NCR,Metro Manila,Makati City,Medium,NULL
DEPARTMENT OF AGRARIAN REFORM - REGION VI,Region VI,Iloilo,Iloilo City,Executive,Department,National Government Agencies (NGA),0,Procurement of Toner Cartridge - Docucentre S2320 (Direct Contracting Exclusive Dealer / Manufacturer),Goods,Direct Contracting (Sec. 50),Office Equipment Supplies and Consumables,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,51000.00,20/12/2024,NULL,Iloilo,30,NULL,1,Procurement of Toner Cartridge - Docucentre S2320,Procurement of Toner Cartridge - Docucentre S2320,12,Cartridge,51000.00,Awarded,5259910,Procurement of Toner Cartridge - Docucentre S2320 (Direct Contracting Exclusive Dealer / Manufacturer),44103105,Ink cartridges,20/12/2024,16/12/2024,51000.00,Posted,NULL,NULL,NULL,"CARLSON DIGITAL PRINTS, INC",Philippines,Region VI,Iloilo,Iloilo City,Micro,NULL
